This is Ipopt version 3.13.4, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:      758
Number of nonzeros in inequality constraint Jacobian.:       40
Number of nonzeros in Lagrangian Hessian.............:      660

Total number of variables............................:      248
                     variables with only lower bounds:        0
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:      218
Total number of inequality constraints...............:       40
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:       40

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  7.8157660e-03 9.83e-01 1.00e+00  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  3.4761108e-02 9.76e-01 5.18e+03  -1.7 1.17e+01   2.0 7.83e-03 7.64e-03h  1
   2  4.3508822e-02 9.74e-01 5.21e+03  -1.7 8.94e+00   2.4 2.44e-01 1.61e-03h  1
   3  5.8989341e-02 9.72e-01 1.65e+05  -1.7 1.27e+01   1.9 1.00e+00 2.41e-03h  1
   4  1.1374946e-01 9.71e-01 1.59e+05  -1.7 5.36e+02   1.5 3.15e-03 9.47e-04h  1
   5  1.2987571e-01 9.69e-01 1.58e+05  -1.7 1.20e+01   1.9 5.53e-04 2.11e-03h  1
   6  1.2953098e-01 9.69e-01 1.58e+05  -1.7 1.49e+02   2.3 7.54e-05 9.77e-05h  1
   7  1.2998953e-01 9.68e-01 4.01e+05  -1.7 1.55e+02   1.8 1.86e-02 3.20e-04h  1
   8  3.5723748e-01 9.62e-01 3.50e+05  -1.7 1.28e+02   2.3 3.14e-04 5.86e-03h  1
   9  3.5852693e-01 9.62e-01 5.79e+06  -1.7 9.32e+01   4.5 3.76e-03 1.69e-04h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  3.6013197e-01 9.62e-01 5.72e+06  -1.7 1.04e+02   4.9 1.58e-05 3.02e-05h  1
  11  4.4453815e+00 9.54e-01 3.70e+08  -1.7 5.06e+02   4.5 6.81e-06 7.58e-03h  1
  12  4.4478276e+00 9.54e-01 3.70e+08  -1.7 1.40e+02   4.9 6.00e-03 1.23e-04h  1
  13r 4.4478276e+00 9.54e-01 1.00e+03  -0.0 0.00e+00   4.4 0.00e+00 3.33e-07R  3
  14r 7.2146911e+00 8.24e-01 1.02e+03  -0.0 2.46e+02    -  7.75e-03 2.30e-03f  1
  15r 7.2146911e+00 8.24e-01 9.99e+02  -0.1 0.00e+00   3.9 0.00e+00 3.03e-07R  5
  16r 7.4001623e+00 7.72e-01 9.98e+02  -0.1 9.34e+01    -  3.89e-04 5.79e-04f  1
  17r 7.5003634e+00 7.56e-01 9.98e+02  -0.1 9.19e+01    -  5.22e-03 3.62e-04f  1
  18r 9.4277155e+00 5.90e-01 9.93e+02  -0.1 6.60e+01    -  3.38e-03 4.67e-03f  1
  19  9.4361962e+00 5.89e-01 2.93e+01  -1.7 3.23e+00   3.4 3.70e-02 1.48e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  9.4365165e+00 5.89e-01 2.20e+05  -1.7 5.47e+00   3.0 1.81e-01 2.54e-05h  1
  21  9.4746587e+00 5.88e-01 5.28e+05  -1.7 1.03e+01   2.5 3.45e-01 1.64e-03h  1
  22  9.6910305e+00 5.84e-01 6.54e+05  -1.7 1.62e+01   2.0 4.00e-01 7.10e-03h  1
  23  1.0517755e+01 5.67e-01 5.92e+05  -1.7 2.42e+01   1.5 1.58e-01 2.90e-02h  1
  24  1.0527138e+01 5.67e-01 2.27e+06  -1.7 1.92e+01   2.9 2.14e-01 3.03e-04h  1
  25  1.0914557e+01 5.65e-01 1.93e+06  -1.7 1.43e+02   2.4 7.98e-04 3.08e-03h  1
  26  1.0934907e+01 5.64e-01 2.11e+08  -1.7 1.16e+02   3.7 3.99e-02 1.40e-04h  1
  27  1.2155979e+01 5.61e-01 1.36e+08  -1.7 1.23e+02   4.1 3.41e-04 5.33e-03h  2
  28  1.2301198e+01 5.60e-01 1.84e+10  -1.7 1.42e+02   5.5 4.33e-02 4.91e-04h  1
  29  1.3125373e+01 5.59e-01 6.29e+10  -1.7 1.46e+02   5.9 4.02e-02 2.34e-03h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  1.3461176e+01 5.58e-01 1.76e+11  -1.7 1.61e+02   7.2 7.68e-03 1.11e-03h  1
  31r 1.3461176e+01 5.58e-01 1.00e+03  -0.3 0.00e+00   7.7 0.00e+00 4.04e-07R  5
  32r 1.5665176e+01 3.14e-01 9.95e+02  -0.3 4.78e+01    -  6.08e-03 6.65e-03f  1
  33  1.5665624e+01 3.14e-01 1.93e+04  -1.7 2.85e+00   7.2 1.00e+00 7.11e-05h  1
  34r 1.5665624e+01 3.14e-01 1.00e+03  -0.5 0.00e+00   6.7 0.00e+00 2.52e-07R  4
  35r 1.8301362e+01 1.03e-01 1.00e+03  -0.5 1.54e+02    -  3.08e-03 2.01e-03f  1
  36  1.8301428e+01 1.03e-01 9.78e+04  -1.7 2.89e+00   6.2 1.00e+00 1.46e-05h  1
  37  1.8302232e+01 1.03e-01 4.72e+08  -1.7 7.48e+00   5.7 2.04e-01 4.20e-05h  1
  38  1.8311581e+01 1.03e-01 3.84e+09  -1.7 3.62e+01   5.3 1.95e-02 7.76e-05h  1
  39  1.8825856e+01 1.03e-01 4.38e+09  -1.7 2.31e+02   4.8 2.30e-03 7.52e-04h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  1.9423834e+01 1.03e-01 4.47e+09  -1.7 2.77e+02   5.2 7.43e-04 6.56e-04h  2
  41  1.9777236e+01 1.03e-01 7.12e+09  -1.7 4.00e+02   4.7 4.30e-03 4.58e-04h  4
  42  2.0012959e+01 1.03e-01 1.38e+10  -1.7 4.15e+02   5.2 4.06e-03 2.77e-04h  4
  43  2.0550518e+01 1.03e-01 2.21e+10  -1.7 4.27e+02   4.7 9.23e-03 5.94e-04h  3
  44  2.1037277e+01 1.03e-01 3.78e+10  -1.7 4.64e+02   5.1 7.06e-03 4.53e-04h  3
  45  2.2211998e+01 1.03e-01 4.63e+10  -1.7 4.65e+02   4.6 5.51e-03 9.40e-04h  1
  46  2.2237976e+01 1.03e-01 8.36e+10  -1.7 5.93e+02   5.1 6.35e-03 1.67e-05h  1
  47  2.2333922e+01 1.03e-01 1.81e+11  -1.7 6.10e+02   5.5 9.25e-03 5.91e-05h  5
  48  2.2499632e+01 1.03e-01 2.85e+11  -1.7 6.10e+02   5.0 1.67e-02 1.04e-04h  5
  49  2.2669131e+01 1.03e-01 3.92e+11  -1.7 6.41e+02   5.4 9.16e-03 9.75e-05h  5
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  2.2879399e+01 1.03e-01 4.14e+11  -1.7 6.41e+02   5.0 2.75e-03 1.23e-04h  5
  51  2.2984999e+01 1.03e-01 9.45e+11  -1.7 6.92e+02   5.4 3.51e-02 5.57e-05h  6
  52  2.3177918e+01 1.03e-01 9.55e+11  -1.7 6.89e+02   4.9 1.01e-03 1.06e-04h  6
  53  2.3264489e+01 1.03e-01 1.13e+12  -1.7 7.50e+02   5.3 9.35e-03 4.27e-05h  7
  54  2.3462263e+01 1.03e-01 1.14e+12  -1.7 7.78e+02   4.9 9.27e-04 1.03e-04h  6
  55  2.3607017e+01 1.03e-01 4.23e+12  -1.7 8.09e+02   5.3 1.27e-01 6.59e-05h  7
  56  2.3674104e+01 1.03e-01 4.32e+12  -1.7 8.56e+02   5.7 2.20e-03 2.80e-05h  8
  57  3.6481186e+01 2.34e-01 4.47e+12  -1.7 8.53e+02   5.2 9.72e-03 3.50e-03w  1
  58  3.0634591e+01 3.00e-01 4.14e+12  -1.7 3.90e+02   5.7 9.16e-05 3.21e-03w  1
  59  3.2290466e+01 3.15e-01 2.70e+12  -1.7 3.44e+03   5.2 9.44e-05 3.19e-04w  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  2.3800033e+01 1.03e-01 4.58e+12  -1.7 1.47e+03   5.6 9.72e-03 5.48e-05h  6
  61  2.3922758e+01 1.03e-01 4.74e+12  -1.7 8.99e+02   5.1 5.24e-03 5.23e-05h  7
  62  2.3988068e+01 1.03e-01 5.09e+12  -1.7 9.29e+02   5.6 6.95e-03 2.51e-05h  8
  63  2.4123903e+01 1.03e-01 5.13e+12  -1.7 1.02e+03   5.1 1.16e-03 5.54e-05h  7
